Number,ID.1,event_id,victim_id,victim_type,victim_name,victim_gender,party1,party2,party3,party4,coallition,1stpoliticaloffice,2ndpoliticaloffice,3rdpoliticaloffice,general_category_1,general_category_2,general_category_3,level_of_government,government_area,event_type,aggressor,remarks_on_the_crime,date,state,municipal,INEGIcode,MunINEGIcode,Entity,Totalpopulation,Female_population,Male_population,economically_active_population,No_health_services_pop,12_year_old_single_population,ID.1,avg_scholarity,home_count,average_number_in_home,GDP,Concepto
1,GRO-2017-12-29,1,1,Authority,Arturo Gómez Pérez,Male,PRD,,,,,"Alcalde de Petatlán, Guerrero",,,Alcalde(sa),,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2017-12-29,Guerrero,Petatlán,12,48,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
2,GRO-2018-01-01,2,2,Party,Adolfo Serna Nogueda,Female,PRI,,,,,Pre-Candidato del PRI a alcalde de Atoyac,,,Pre-candidato(a),,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-01-01,Guerrero,Atoyac de Álvarez,12,11,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
3,NAY-2018-01-02,3,3,Authority,Sabino Mejía Rodríguez,Male,PRD,,,,,"Director de Protección Civil del municipio de Santiago Ixcuintla, Nayarit",,,Funcionario(a),,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-01-02,Nayarit,Santiago Ixcuintla,18,15,18,1235456,623178,612278,609556,273039,313489,504.7737603305785,9.300371900826446,498.87396694214874,3.352510330578512,121042.682,Nayarit
4,HGO-2018-01-03,4,4,Authority,Miguel Ángel Licona,Male,PRI,,,,,Ex-Alcalde de Mixquiahuala,,,Ex-Alcalde(sa),,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-01-03,Hidalgo,Mixquiahuala de Juárez,13,41,13,3082841,1601462,1481379,1502364,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995,Hidalgo
5,HGO-2018-01-03,4,5,Authority,Miguel Ángel Locina Pérez,Male,PAN,,,,,Hijo de alcalde Miguel Ángel Licona,,,Familiar,,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-01-03,Hidalgo,Mixquiahuala de Juárez,13,41,13,3082841,1601462,1481379,1502364,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995,Hidalgo
6,GRO-2018-01-05,5,6,Authority,Julio García Leal,Male,PRD,,,,,Hermano del Ex-Regidor(a) Margarito García Leal,,,Familiar,,,Municipal,Executive,Murder,Sujeto(s) armado(s),Sujeto armado,2018-01-05,Guerrero,Tlacoachistlahuaca,12,62,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
7,GRO-2018-01-05,5,7,Authority,Margarito García Leal,Male,PRD,,,,,Ex-Regidor de Tlacoachiatlahuaca,Activista de la Unión de Pueblos y Organizaciones del Estado de Guerrero (UPOEG),,Ex-Regidor(a),Activista,,Municipal,Executive,Armed Attack,Sujeto(s) armado(s),Sujeto armado,2018-01-05,Guerrero,Tlacoachistlahuaca,12,62,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
8,VER-2018-01-10,6,8,Authority,Víctor Molina Dorantes,Male,PRD,,,,,Ex-Alcalde,Ex-diputado(a),,Ex-Alcalde(sa),Ex-Diputado(a),,Municipal,Executive,Murder,No identificado,,2018-01-10,Veracruz_de_Ignacio_de_la_Llave,Colipa,30,42,30,8062579,4190805,3871774,3851221,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,,
9,TAM-2018-01-13,7,9,Authority,Juan Manuel Hernandez Acevedo,Male,PAN,,,,,Regidor,,,Regidor(a),,,Municipal,Executive,Murder,No identificado,,2018-01-13,Tamaulipas,El Mante,28,21,28,3527735,1791595,1736140,1737175,713859,924944,1029.1824491819534,9.782062469013386,662.7416955875062,3.1999603371343577,517419.862,Tamaulipas
10,DUR-2018-01-20,8,10,Party,Santiago Chaidez,Male,PRI,,,,,Ex-Candidato a alcalde,,,Ex-Candidato(a),,,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),,2018-01-20,Durango,Canelas,10,2,10,1832650,927784,904866,818279,461394,481785,752.6669101533967,8.905558802045288,462.3630387143901,3.6477794010226448,204045.941,Durango
11,HGO-2018-01-21,9,11,Authority,Carlos Ortega Reyes,Male,PRI,,,,,"Ex-Regidor del PRI en Cuautepec, Hidalgo",,,Ex-Regidor(a),,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-01-21,Hidalgo,Cuautepec de Hinojosa,13,16,13,3082841,1601462,1481379,1502364,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995,Hidalgo
12,GTO-2018-01-24,10,12,Authority,Jorge Montes González,Male,PRI,,,,,Regidor en Celaya,Líder municipal del PRI,,Regidor(a),Militante,,Municipal,Executive,Murder,Comando armado,,2018-01-24,Guanajuato,Celaya,11,7,11,6166934,3170480,2996454,2997139,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455,Guanajuato
13,OAX-2018-02-01,11,13,Authority,Rosario Ignacio Martínez Salas,Male,Movimiento de Unificación y Lucha Triqui (MULT),,,,,Ex-Alcalde de Constancia del Rosario,,,Ex-Alcalde(sa),,,Municipal,Executive,Armed Attack,Sujeto(s) armado(s),,2018-02-01,Oaxaca,Putla Villa de Guerrero,20,73,20,4132148,2157305,1974843,1825593,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486,Oaxaca
14,PUE-2018-02-01,12,14,Party,Ana Reyes García,Female,MORENA,PT,PES,,Sí,Candidatoa a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Threat,No identificado,,2018-02-01,Puebla,Zaragoza,21,211,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
15,PUE-2018-02-03,13,15,Authority,Félix Aguilar Caballero,Male,PVEM,,,,,Alcalde,,,Alcalde(sa),,,Municipal,Executive,Murder,No identificado,,2018-02-03,Puebla,Nopalucan,21,104,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
16,MEX-2018-02-04,14,16,Party,Francisco Rojas San Román,Male,PRI,,,,No,Pre-Candidato a alcalde,Ex-Diputado,,Pre-candidato(a),Ex-Diputado(a),,Municipal,Elections and Campaigns,Murder,No identificado,,2018-02-04,Mexico,Cuautitlán Izcalli,15,121,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
17,PUE-2018-02-04,15,17,Party,José Jairo García Oliver,Male,PAN,,,,,Militante,,,Militante,,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-02-04,Puebla,San Matías Tlalancaleca,21,134,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
18,JAL-2018-02-05,877,968,Authority,Alfonso Hernández Villavicencio,Male,PRI,,,,,Agente de la PGR,,,Funcionario(a),,,Federal,Seguridad (e.g. policías; fuerzas del orden),Kidnapping,CJNG,,2018-02-05,Jalisco,Puerto Vallarta,14,67,14,8348151,4249689,4098448,4244047,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696,Jalisco
19,JAL-2018-02-05,877,969,Authority,Octavio Martínez,Male,PRI,,,,,Agente de la PGR,,,Funcionario(a),,,Federal,Seguridad (e.g. policías; fuerzas del orden),Kidnapping,CJNG,,2018-02-05,Jalisco,Puerto Vallarta,14,67,14,8348151,4249689,4098448,4244047,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696,Jalisco
20,MEX-2018-02-09,16,18,Party,Vicente Alberto Onofre Vazquez,Male,PES,,,,,Dirigente de partido,Pre-Candidato,,Dirigente,Pre-candidato(a),,State,Elections and Campaigns,Armed Attack,Sujeto(s) armado(s),2 personas,2018-02-09,Mexico,Chalco,15,25,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
21,PUE-2018-02-10,17,19,Party,Francisco Lenin Portal Sánchez,Male,PRI,,,,,Pre-Candidato a alcalde,,,Pre-candidato(a),,,Municipal,Elections and Campaigns,Armed Attack,No identificado,,2018-02-10,Puebla,Tlahuapan,21,180,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
