"","id","id_evento","id_victima","tipo_vic","nom_vic","genero_vic","partido1","partido2","partido3","partido4","coalicion","puesto1","puesto2","puesto3","cat_puesto1","cat_puesto2","cat_puesto3","nivel_gob","area_gob","tipo_evento","agresor","Obs_agresor","fecha","estado","municipio","cve_edoINEGI","cve_munINEGI"
"1","GRO-2017-12-29",1,1,"Autoridad","Arturo Gómez Pérez","Hombre","PRD","","","","","Alcalde de Petatlán, Guerrero","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2017-12-29","Guerrero","Petatlán","12","048"
"2","GRO-2018-01-01",2,2,"Partido","Adolfo Serna Nogueda","Mujer","PRI","","","","","Pre-Candidato del PRI a alcalde de Atoyac","","","Pre-candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-01-01","Guerrero","Atoyac de Álvarez","12","011"
"3","NAY-2018-01-02",3,3,"Autoridad","Sabino Mejía Rodríguez","Hombre","PRD","","","","","Director de Protección Civil del municipio de Santiago Ixcuintla, Nayarit","","","Funcionario(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-01-02","Nayarit","Santiago Ixcuintla","18","015"
"4","HGO-2018-01-03",4,4,"Autoridad","Miguel Ángel Licona","Hombre","PRI","","","","","Ex-Alcalde de Mixquiahuala","","","Ex-Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-01-03","Hidalgo","Mixquiahuala de Juárez","13","041"
"5","HGO-2018-01-03",4,5,"Autoridad","Miguel Ángel Locina Pérez","Hombre","PAN","","","","","Hijo de alcalde Miguel Ángel Licona","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-01-03","Hidalgo","Mixquiahuala de Juárez","13","041"
"6","GRO-2018-01-05",5,6,"Autoridad","Julio García Leal","Hombre","PRD","","","","","Hermano del Ex-Regidor(a) Margarito García Leal","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Sujeto armado","2018-01-05","Guerrero","Tlacoachistlahuaca","12","062"
"7","GRO-2018-01-05",5,7,"Autoridad","Margarito García Leal","Hombre","PRD","","","","","Ex-Regidor de Tlacoachiatlahuaca","Activista de la Unión de Pueblos y Organizaciones del Estado de Guerrero (UPOEG)","","Ex-Regidor(a)","Activista","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Ataque armado","Sujeto(s) armado(s)","Sujeto armado","2018-01-05","Guerrero","Tlacoachistlahuaca","12","062"
"8","VER-2018-01-10",6,8,"Autoridad","Víctor Molina Dorantes","Hombre","PRD","","","","","Ex-Alcalde","Ex-diputado(a)","","Ex-Alcalde(sa)","Ex-Diputado(a)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2018-01-10","Veracruz_de_Ignacio_de_la_Llave","Colipa","30","042"
"9","TAM-2018-01-13",7,9,"Autoridad","Juan Manuel Hernandez Acevedo","Hombre","PAN","","","","","Regidor","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2018-01-13","Tamaulipas","El Mante","28","021"
"10","DUR-2018-01-20",8,10,"Partido","Santiago Chaidez","Hombre","PRI","","","","","Ex-Candidato a alcalde","","","Ex-Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2018-01-20","Durango","Canelas","10","002"
"11","HGO-2018-01-21",9,11,"Autoridad","Carlos Ortega Reyes","Hombre","PRI","","","","","Ex-Regidor del PRI en Cuautepec, Hidalgo","","","Ex-Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-01-21","Hidalgo","Cuautepec de Hinojosa","13","016"
"12","GTO-2018-01-24",10,12,"Autoridad","Jorge Montes González","Hombre","PRI","","","","","Regidor en Celaya","Líder municipal del PRI","","Regidor(a)","Militante","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Comando armado","","2018-01-24","Guanajuato","Celaya","11","007"
"13","OAX-2018-02-01",11,13,"Autoridad","Rosario Ignacio Martínez Salas","Hombre","Movimiento de Unificación y Lucha Triqui (MULT)","","","","","Ex-Alcalde de Constancia del Rosario","","","Ex-Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Ataque armado","Sujeto(s) armado(s)","","2018-02-01","Oaxaca","Putla Villa de Guerrero","20","073"
"14","PUE-2018-02-01",12,14,"Partido","Ana Reyes García","Mujer","MORENA","PT","PES","","Sí","Candidatoa a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-02-01","Puebla","Zaragoza","21","211"
"15","PUE-2018-02-03",13,15,"Autoridad","Félix Aguilar Caballero","Hombre","PVEM","","","","","Alcalde","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2018-02-03","Puebla","Nopalucan","21","104"
"16","MEX-2018-02-04",14,16,"Partido","Francisco Rojas San Román","Hombre","PRI","","","","No","Pre-Candidato a alcalde","Ex-Diputado","","Pre-candidato(a)","Ex-Diputado(a)","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-02-04","Mexico","Cuautitlán Izcalli","15","121"
"17","PUE-2018-02-04",15,17,"Partido","José Jairo García Oliver","Hombre","PAN","","","","","Militante","","","Militante","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-02-04","Puebla","San Matías Tlalancaleca","21","134"
"18","JAL-2018-02-05",877,968,"Autoridad","Alfonso Hernández Villavicencio","Hombre","PRI","","","","","Agente de la PGR","","","Funcionario(a)","","","Federal","Seguridad (e.g. policías; fuerzas del orden)","Secuestro","CJNG","","2018-02-05","Jalisco","Puerto Vallarta","14","067"
"19","JAL-2018-02-05",877,969,"Autoridad","Octavio Martínez","Hombre","PRI","","","","","Agente de la PGR","","","Funcionario(a)","","","Federal","Seguridad (e.g. policías; fuerzas del orden)","Secuestro","CJNG","","2018-02-05","Jalisco","Puerto Vallarta","14","067"
"20","MEX-2018-02-09",16,18,"Partido","Vicente Alberto Onofre Vazquez","Hombre","PES","","","","","Dirigente de partido","Pre-Candidato","","Dirigente","Pre-candidato(a)","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","Sujeto(s) armado(s)","2 personas","2018-02-09","Mexico","Chalco","15","025"
"21","PUE-2018-02-10",17,19,"Partido","Francisco Lenin Portal Sánchez","Hombre","PRI","","","","","Pre-Candidato a alcalde","","","Pre-candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","","2018-02-10","Puebla","Tlahuapan","21","180"
"22","JAL-2018-02-13",18,20,"Autoridad","Óscar Castillón Romero","Hombre","PRI","OTRO","","","Sí","Ex-Presidencial municipal de Cabo Corrientes, Jalisco","","","Ex-Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Ataque armado","Sujeto(s) armado(s)","2 sujetos armados que dispararon cinco veces al ex presidente municipal","2018-02-13","Jalisco","Cabo Corrientes","14","020"
"23","OAX-2018-02-13",19,21,"Autoridad","Marcial Melchor Pérez","Hombre","","","","","","Padre del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"24","OAX-2018-02-13",19,22,"Autoridad","Jorge Antonio Melchor Ruiz","Hombre","","","","","","Hijo del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"25","OAX-2018-02-13",19,23,"Autoridad","Félix Melchor Ruiz","Hombre","","","","","","Hermano del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"26","OAX-2018-02-13",19,24,"Autoridad","Lucano Melchor Ruiz","Hombre","","","","","","Hermano del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"27","OAX-2018-02-13",19,25,"Autoridad","Miguel Ángel Melchor Ruiz","Hombre","","","","","","Hermano del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"28","OAX-2018-02-13",19,26,"Autoridad","Manolo Hernández Ruiz","Hombre","","","","","","Primo del alcalde","","","Familiar","Alcalde(sa)","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-13","Oaxaca","San Juan Lachigalla","20","203"
"29","OAX-2018-02-15",20,27,"Autoridad","Francisco Hernández Sánchez","Hombre","PRI","","","","","Ex-Alcalde","Ex-Diputado local","Ex-Funcionario","Ex-Alcalde(sa)","Ex-Diputado(a)","Ex-Funcionario(a)","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-02-15","Oaxaca","Heroica Ciudad de Ejutla de Crespo","20","028"
"30","VER-2018-02-17",21,28,"Autoridad","Ciro Nieto Zamora","Hombre","PAN","","","","","Ex-Regidor de Pánuco, Veracruz","","","Ex-Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Hombres armados le dispararon a quemarropa","2018-02-17","Veracruz_de_Ignacio_de_la_Llave","Pánuco","30","123"
"31","NAY-2018-02-18",878,968,"Autoridad","Alfonso Hernández Villavicencio","Hombre","PRI","","","","","Agente de la PGR","","","Funcionario(a)","","","Federal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","CJNG","","2018-02-18","Nayarit","Xalisco","18","008"
"32","NAY-2018-02-18",878,969,"Autoridad","Octavio Martínez","Hombre","PRI","","","","","Agente de la PGR","","","Funcionario(a)","","","Federal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","CJNG","","2018-02-18","Nayarit","Xalisco","18","008"
"33","COL-2018-02-20",22,29,"Autoridad","Martín Cázares Zárate","Hombre","PAN","","","","No","Regidor","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","2 sujetos armados a bordo de una motocicleta","2018-02-20","Colima","Tecomán","06","009"
"34","GRO-2018-02-25",23,30,"Partido","Dulce Nayeli Rebaja Pedro","Mujer","PRI","","","","","Pre-Candidata a la diputación 25 de Guerrero","","","Pre-candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Secuestro","No identificado","","2018-02-25","Guerrero","Chilapa de Álvarez","12","028"
"35","GRO-2018-02-25",24,30,"Partido","Dulce Nayeli Rebaja Pedro","Mujer","PRI","","","","","Pre-Candidata a la diputación 25 de Guerrero","Titular de la Dirección de Investigación y Evaluación de la Secretaría de Asuntos Indígenes y Comunidades Afroamericanas","","Pre-candidato(a)","Funcionario(a)","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-02-25","Guerrero","Chilapa de Álvarez","12","028"
"36","GRO-2018-03-03",25,31,"Partido","Homero Bravo Espino","Hombre","PRD","","","","","Pre-Candidato por el PRD a alcalde de Ixtapa Zihuatanejo","","","Pre-candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-03-03","Guerrero","Zihuatanejo de Azueta","12","038"
"37","PUE-2018-03-09",26,32,"Partido","Miguel Ángel Morales Morales","Hombre","MC","","","","","Pre-Candidato a alcalde","","","Pre-candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","","2018-03-09","Puebla","Zihuateutla","21","213"
"38","PUE-2018-03-11",27,33,"Partido","Alma Salinas Martínez","Mujer","MORENA","PT","PES","","Sí","Candidatoa a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-03-11","Puebla","Hueytamalco","21","076"
"39","MEX-2018-03-15",28,34,"Partido","Mauricio Martínez Nieto","Hombre","PAN","MC","","","No","Ex-Candidato a alcalde","Ex-Candidato a diputado federal","","Ex-Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2018-03-15","Mexico","Ixtapaluca","15","039"
"40","PUE-2018-03-16",29,35,"Partido","Gustavo Martín Gómez Álvarez","Hombre","PRI","","","","No","Candidato a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2018-03-16","Puebla","Francisco Z. Mena","21","064"
"41","MEX-2018-03-18",30,36,"Partido","Elueterio César Solís","Hombre","PVEM","","","","No","Candidato a alcalde","Ex-Alcalde","","Candidato(a)","Alcalde(sa)","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-03-18","Mexico","Jilotzingo","15","046"
"42","OAX-2018-03-20",31,37,"Partido","Nerfiti Silva Melo","Mujer","PT","","","","","Secretaria de Pre-Candidato a alcalde","","","Militante","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-03-20","Oaxaca","Loma Bonita","20","044"
"43","SLP-2018-03-27",32,38,"Partido","Israel Mendoza Vázquez","Hombre","MORENA","","","","","Candidato a diputación local","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","Sujeto(s) armado(s)","","2018-03-27","San_Luis_Potosi","Matehuala","24","020"
"44","PUE-2018-04-02",33,39,"Partido","Lourdes Elizabeth Martínez Romano","Mujer","MORENA","PT","PES","","Sí","Candidatoa a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-04-02","Puebla","Teteles de Ávila Castillo","21","173"
"45","PUE-2018-04-05",34,33,"Partido","Alma Salinas Martínez","Mujer","MORENA","PT","PES","","Sí","Candidatoa a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-04-05","Puebla","Hueytamalco","21","076"
"46","MOR-2018-04-10",35,40,"Partido","Rodrigo Gayosso","Hombre","PRD","PSD","","","Sí","Candidato a Gobernador","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","El señor de los caballlos (líder del cártel de Los Rojos)","","2018-04-10","Morelos","Cuernavaca","17","007"
"47","MIC-2018-04-11",36,41,"Partido","Maribel Barajas Cortés","Mujer","PVEM","","","","","Candidata a diputación local","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-04-11","Michoacan_de_Ocampo","Morelia","16","053"
"48","PUE-2018-04-12",37,42,"Autoridad","José Efraín García","Hombre","PT","","","","","Alcalde","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2018-04-12","Puebla","Tepeaca","21","164"
"49","GRO-2018-04-13",38,43,"Partido","Ricardo Bravo Lázaro","Hombre","MORENA","","","","","Ex-Dirigente de Morena en Guerrero","","","Militante","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","Hombres en motocicleta","2018-04-13","Guerrero","Eduardo Neri","12","075"
"50","GRO-2018-04-16",39,44,"Autoridad","No disponible","Hombre","PRI","","","","","Hijo del regidor Juan Bartolo Valle","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2018-04-16","Guerrero","Zihuatanejo de Azueta","12","038"
"51","MIC-2018-04-18",40,45,"Partido","Yolanda Mayela Macías","Mujer","PRD","","","","","Colaboradora de candidato a la alcaldúa de Venustiano Carranza","","","Colaborador(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-04-18","Michoacan_de_Ocampo","Venustiano Carranza","16","103"
"52","GRO-2018-04-19",41,46,"Partido","Edel Chona Morales","Hombre","PRI","","","","","Candidato del PRI a diputación federal","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","","2018-04-19","Guerrero","Acapulco de Juárez","12","001"
"53","MEX-2018-04-19",42,47,"Partido","Sebastián Alejandro Espejel","Hombre","PAN","PRD","MC","","Sí","Candidato a regidor","Militante","","Candidato(a)","Militante","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","2 sujetos armados","2018-04-19","Mexico","Tepetlaoxtoc","15","093"
"54","GRO-2018-04-27",43,48,"Partido","Silvia Rivera Carbajal","Mujer","MORENA","","","","","Candidata a diputación local distrito XVIII","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2018-04-27","Guerrero","Chilpancingo de los Bravo","12","029"
"55","GRO-2018-05-03",44,49,"Autoridad","Elías Damián Rodríguez","Hombre","PRI","PVEM","","","Sí","Secretario particular de alcalde Constantino García Cisneros","","","Funcionario(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2018-05-03","Guerrero","Cuajinicuilapa","12","023"
"56","HGO-2018-05-03",45,50,"Autoridad","Alejandro González Ramos","Hombre","PAN","","","","","Alcalde de Pacula","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Hombre en motocicleta","2018-05-03","Hidalgo","Pacula","13","047"
"57","MEX-2018-05-04",46,51,"Partido","Addiel Zermann Miguel","Hombre","MORENA","PES","PT","","Sí","Candidato a alcalde","Militante","Alcalde con licencia","Candidato(a)","Militante","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2018-05-04","Mexico","Ixtapaluca","15","039"
"58","CHH-2018-05-06",47,52,"Partido","Liliana García","Mujer","PRD","","","","","Candidato a regidor","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","La Línea","","2018-05-06","Chihuahua","Ignacio Zaragoza","08","034"
