event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
1,1,Authority,Male,PRD,Alcalde(sa),Municipal,Executive,Murder,Sujeto(s) armado(s),2017-12-29,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
2,2,Party,Female,PRI,Pre-candidato(a),Municipal,Elections and Campaigns,Murder,No identificado,2018-01-01,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
3,3,Authority,Male,PRD,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2018-01-02,Nayarit,18,1235456,623178,612278,273039,313489,504.7737603305785,9.300371900826446,498.8739669421488,3.352510330578512,121042.682
4,4,Authority,Male,PRI,Ex-Alcalde(sa),Municipal,Executive,Murder,Sujeto(s) armado(s),2018-01-03,Hidalgo,13,3082841,1601462,1481379,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995
4,5,Authority,Male,PAN,Familiar,Municipal,Executive,Murder,Sujeto(s) armado(s),2018-01-03,Hidalgo,13,3082841,1601462,1481379,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995
5,6,Authority,Male,PRD,Familiar,Municipal,Executive,Murder,Sujeto(s) armado(s),2018-01-05,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
5,7,Authority,Male,PRD,Ex-Regidor(a),Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2018-01-05,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
6,8,Authority,Male,PRD,Ex-Alcalde(sa),Municipal,Executive,Murder,No identificado,2018-01-10,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
7,9,Authority,Male,PAN,Regidor(a),Municipal,Executive,Murder,No identificado,2018-01-13,Tamaulipas,28,3527735,1791595,1736140,713859,924944,1029.1824491819534,9.782062469013386,662.7416955875062,3.1999603371343577,517419.862
8,10,Party,Male,PRI,Ex-Candidato(a),Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),2018-01-20,Durango,10,1832650,927784,904866,461394,481785,752.6669101533967,8.905558802045288,462.3630387143901,3.6477794010226448,204045.941
9,11,Authority,Male,PRI,Ex-Regidor(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2018-01-21,Hidalgo,13,3082841,1601462,1481379,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995
10,12,Authority,Male,PRI,Regidor(a),Municipal,Executive,Murder,Comando armado,2018-01-24,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
